nf-core_mhcquant	19676	single	single-19676	present
nf-core_airrflow	19682	single	single-19682	present
nf-core_quantms	19695	single	single-19695	present
chipseq	19707	single	single-19707	present
dna-seq-gatk-variant-calling	19728	multi	4node-19728	present
nf-core_bacass	19752	single	single-19752	present
nf-core_ampliseq	19755	single	single-19755	present
metaGEM	19758	single	single-19758	present
nf-core_smrnaseq	19771	single	single-19771	present
nf-core_dualrnaseq	19782	single	single-19782	present
nf-core_atacseq	19794	single	single-19794	present
nf-core_sarek	19797	single	single-19797	present
nf-core_viralintegration	19809	single	single-19809	present
nf-core_airrflow	19812	single	single-19812	present
nf-core_deepvariant	19830	single	single-19830	present
metaGEM	19863	single	single-19863	present
nf-core_spatialvi	19866	single	single-19866	present
nf-core_ampliseq	19873	single	single-19873	present
nf-core_circdna	19879	single	single-19879	present
nf-core_clipseq	19882	single	single-19882	present
nf-core_differentialabundance	19894	single	single-19894	present
nf-core_pathogensurveillance	19918	single	single-19918	present
nf-core_proteinfold	19921	single	single-19921	present
nf-core_scnanoseq	19930	single	single-19930	present
nf-core_deepvariant	19940	single	single-19940	present
nf-core_dualrnaseq	19943	single	single-19943	present
nf-core_funcscan	19946	single	single-19946	present
nf-core_quantms	19950	single	single-19950	present
nf-core_scrnaseq	19953	single	single-19953	present
nf-core_airrflow	19962	single	single-19962	present
chipseq	19971	single	single-19971	present
nf-core_taxprofiler	19974	single	single-19974	present
nf-core_fetchngs	19977	single	single-19977	present
nf-core_cutandrun	19980	single	single-19980	present
nf-core_createtaxdb	19983	single	single-19983	present
nf-core_spatialvi	19989	single	single-19989	present
nf-core_nascent	20001	single	single-20001	present
nf-core_eager	20010	single	single-20010	present
nf-core_bacass	20013	single	single-20013	present
nf-core_genomeqc	20016	single	single-20016	present
nf-core_tumourevo	20019	single	single-20019	present
nf-core_atacseq	20022	single	single-20022	present
nf-core_mag	20031	single	single-20031	present
nf-core_mhcquant	20037	single	single-20037	present
nf-core_rnaseq	20040	single	single-20040	present
nf-core_sarek	20043	single	single-20043	present
nf-core_smrnaseq	20047	single	single-20047	present
nf-core_viralrecon	20050	single	single-20050	present
nf-core_demultiplex	20054	single	single-20054	present
