workflow	run	dir	mode	run_mtime	slurm_file	active_in_squeue
nf-core_circdna	19276	single-19276	single	2026-05-20 04:12:19	present	no
nf-core_circdna	19345	single-19345	single	2026-05-20 07:03:55	present	no
nf-core_circdna	19448	single-19448	single	2026-05-20 09:23:55	present	no
nf-core_circdna	19645	single-19645	single	2026-05-20 13:48:43	present	no
nf-core_circdna	19879	single-19879	single	2026-05-21 06:16:52	present	no
nf-core_clipseq	19030	single-19030	single	2026-05-19 21:55:40	present	no
nf-core_clipseq	19064	single-19064	single	2026-05-19 22:16:48	present	no
nf-core_clipseq	19086	single-19086	single	2026-05-19 22:55:27	present	no
nf-core_clipseq	19150	single-19150	single	2026-05-19 23:37:56	present	no
nf-core_clipseq	19192	single-19192	single	2026-05-20 00:16:34	present	no
nf-core_clipseq	19240	single-19240	single	2026-05-20 01:20:53	present	no
nf-core_clipseq	19338	single-19338	single	2026-05-20 06:16:00	present	no
nf-core_clipseq	19591	single-19591	single	2026-05-20 10:15:00	present	no
nf-core_clipseq	19882	single-19882	single	2026-05-20 16:36:19	present	no
nf-core_createtaxdb	19031	single-19031	single	2026-05-19 21:56:04	present	no
nf-core_createtaxdb	19091	single-19091	single	2026-05-19 23:06:05	present	no
nf-core_createtaxdb	19235	single-19235	single	2026-05-20 01:19:26	present	no
nf-core_createtaxdb	19277	single-19277	single	2026-05-20 03:38:11	present	no
nf-core_createtaxdb	19348	single-19348	single	2026-05-20 06:32:06	present	no
nf-core_createtaxdb	19537	single-19537	single	2026-05-20 08:53:36	present	no
nf-core_createtaxdb	19983	single-19983	single	2026-05-21 01:35:50	present	no
nf-core_cutandrun	19032	single-19032	single	2026-05-19 21:55:55	present	no
nf-core_cutandrun	19065	single-19065	single	2026-05-19 22:16:49	present	no
nf-core_cutandrun	19092	single-19092	single	2026-05-19 23:07:53	present	no
nf-core_cutandrun	19120	single-19120	single	2026-05-19 23:35:31	present	no
nf-core_cutandrun	19212	single-19212	single	2026-05-20 00:51:03	present	no
nf-core_cutandrun	19268	single-19268	single	2026-05-20 02:41:55	present	no
nf-core_cutandrun	19319	single-19319	single	2026-05-20 06:45:47	present	no
nf-core_cutandrun	19408	single-19408	single	2026-05-20 16:48:12	present	no
nf-core_cutandrun	19980	single-19980	single	2026-05-21 00:16:19	present	no
nf-core_deepvariant	19351	single-19351	single	2026-05-20 06:37:05	present	no
nf-core_deepvariant	19409	single-19409	single	2026-05-20 08:12:06	present	no
nf-core_deepvariant	19658	single-19658	single	2026-05-20 11:34:58	present	no
nf-core_deepvariant	19830	single-19830	single	2026-05-20 15:29:49	present	no
nf-core_deepvariant	19940	single-19940	single	2026-05-20 18:24:28	present	no
nf-core_demultiplex	19033	single-19033	single	2026-05-19 21:55:58	present	no
nf-core_demultiplex	19067	single-19067	single	2026-05-19 22:17:30	present	no
nf-core_demultiplex	19138	single-19138	single	2026-05-19 23:35:49	present	no
nf-core_demultiplex	19204	single-19204	single	2026-05-20 00:28:38	present	no
nf-core_demultiplex	19231	single-19231	single	2026-05-20 01:12:29	present	no
nf-core_demultiplex	19275	single-19275	single	2026-05-20 03:26:38	present	no
nf-core_demultiplex	19332	single-19332	single	2026-05-20 05:51:14	present	no
nf-core_demultiplex	19388	single-19388	single	2026-05-20 07:10:22	present	no
nf-core_demultiplex	19417	single-19417	single	2026-05-20 08:36:55	present	no
nf-core_demultiplex	20054	single-20054	single	2026-05-21 17:09:44	present	no
nf-core_detaxizer	19034	single-19034	single	2026-05-19 21:56:06	present	no
nf-core_detaxizer	19068	single-19068	single	2026-05-19 22:17:35	present	no
nf-core_detaxizer	19139	single-19139	single	2026-05-19 23:35:51	present	no
nf-core_detaxizer	19174	single-19174	single	2026-05-19 23:44:07	present	no
nf-core_detaxizer	19655	single-19655	single	2026-05-20 11:18:38	present	yes
nf-core_detaxizer	20025	single-20025	single	2026-05-21 09:04:40	present	yes
nf-core_differentialabundance	19123	single-19123	single	2026-05-19 23:36:11	present	no
nf-core_differentialabundance	19213	single-19213	single	2026-05-20 00:42:09	present	no
nf-core_differentialabundance	19272	single-19272	single	2026-05-20 03:00:12	present	no
nf-core_differentialabundance	19325	single-19325	single	2026-05-20 06:14:30	present	no
nf-core_differentialabundance	19389	single-19389	single	2026-05-20 07:54:14	present	no
nf-core_differentialabundance	19578	single-19578	single	2026-05-20 11:34:19	present	no
nf-core_differentialabundance	19894	single-19894	single	2026-05-20 18:18:40	present	no
nf-core_dualrnaseq	19155	single-19155	single	2026-05-19 23:38:54	present	no
nf-core_dualrnaseq	19195	single-19195	single	2026-05-20 00:26:53	present	no
nf-core_dualrnaseq	19234	single-19234	single	2026-05-20 01:18:36	present	no
nf-core_dualrnaseq	19278	single-19278	single	2026-05-20 06:20:31	present	no
nf-core_dualrnaseq	19540	single-19540	single	2026-05-20 09:10:24	present	no
nf-core_dualrnaseq	19782	single-19782	single	2026-05-20 15:08:17	present	no
nf-core_dualrnaseq	19943	single-19943	single	2026-05-20 23:11:37	present	no
nf-core_eager	18959	single-18959	single	2026-05-19 22:51:53	present	no
nf-core_eager	19116	single-19116	single	2026-05-20 00:14:54	present	no
nf-core_eager	19225	single-19225	single	2026-05-20 01:32:04	present	no
nf-core_eager	19281	single-19281	single	2026-05-20 04:20:34	present	no
nf-core_eager	19451	single-19451	single	2026-05-20 08:52:38	present	no
nf-core_eager	19605	single-19605	single	2026-05-21 03:39:56	present	no
nf-core_eager	20010	single-20010	single	2026-05-21 13:53:54	present	no
nf-core_fetchngs	19035	single-19035	single	2026-05-19 21:56:13	present	no
nf-core_fetchngs	19069	single-19069	single	2026-05-19 22:18:03	present	no
nf-core_fetchngs	19087	single-19087	single	2026-05-19 22:56:34	present	no
nf-core_fetchngs	19145	single-19145	single	2026-05-19 23:36:57	present	no
nf-core_fetchngs	19178	single-19178	single	2026-05-20 00:08:51	present	no
nf-core_fetchngs	19347	single-19347	single	2026-05-20 06:31:30	present	no
nf-core_fetchngs	19400	single-19400	single	2026-05-20 07:38:03	present	yes
nf-core_fetchngs	19977	single-19977	single	2026-05-20 23:33:52	present	no
nf-core_funcscan	19036	single-19036	single	2026-05-19 21:56:18	present	no
nf-core_funcscan	19070	single-19070	single	2026-05-19 22:18:05	present	no
nf-core_funcscan	19115	single-19115	single	2026-05-19 23:34:50	present	no
nf-core_funcscan	19170	single-19170	single	2026-05-19 23:43:19	present	no
nf-core_funcscan	19205	single-19205	single	2026-05-20 00:29:13	present	no
nf-core_funcscan	19271	single-19271	single	2026-05-20 02:34:25	present	no
nf-core_funcscan	19320	single-19320	single	2026-05-20 07:41:05	present	no
nf-core_funcscan	19553	single-19553	single	2026-05-20 11:34:59	present	no
nf-core_funcscan	19946	single-19946	single	2026-05-20 21:09:56	present	no
